step,cluster_key,A_mean,raw_radius,radius,UCB,prob,selected,active_size,cluster_size,migration_in,migration_out
61,cluster_0,0.329,0.18012902027780825,0.153109667236137,0.482109667236137,0.24,464,100,100,0,0
61,cluster_1,0.301,0.18602311767530388,0.1581196500240083,0.4591196500240083,0.214,435,183,200,0,0
61,cluster_2,0.259,0.19568703475466548,0.16633397954146564,0.4253339795414657,0.182,393,159,180,0,0
61,cluster_3,0.238,0.22692186966387995,0.19288358921429796,0.4308835892142979,0.187,292,132,160,0,0
61,cluster_4,0.23,0.22241303870703072,0.1890510829009761,0.41905108290097615,0.177,304,138,160,0,0
62,cluster_0,0.317,0.18012902027780825,0.153109667236137,0.470109667236137,0.228,464,100,100,0,0
62,cluster_1,0.297,0.18602311767530388,0.1581196500240083,0.4551196500240083,0.213,435,183,200,0,0
62,cluster_2,0.26,0.19568703475466548,0.16633397954146564,0.4263339795414657,0.185,393,159,180,0,0
62,cluster_3,0.239,0.22692186966387995,0.19288358921429796,0.4318835892142979,0.19,292,132,160,0,0
62,cluster_4,0.236,0.22241303870703072,0.1890510829009761,0.4250510829009761,0.184,304,140,160,0,0
63,cluster_0,0.322,0.18012902027780825,0.153109667236137,0.475109667236137,0.234,464,100,100,0,0
63,cluster_1,0.292,0.18602311767530388,0.1581196500240083,0.4501196500240083,0.208,435,184,200,0,0
63,cluster_2,0.269,0.19568703475466548,0.16633397954146564,0.4353339795414657,0.193,393,160,180,0,0
63,cluster_3,0.237,0.22692186966387995,0.19288358921429796,0.4298835892142979,0.189,292,135,160,0,0
63,cluster_4,0.226,0.22241303870703072,0.1890510829009761,0.41505108290097614,0.176,304,140,160,0,0
64,cluster_0,0.323,0.18012902027780825,0.153109667236137,0.476109667236137,0.239,464,100,100,0,0
64,cluster_1,0.294,0.18602311767530388,0.1581196500240083,0.4521196500240083,0.213,435,184,200,0,0
64,cluster_2,0.246,0.19568703475466548,0.16633397954146564,0.41233397954146567,0.177,393,161,180,0,0
64,cluster_3,0.241,0.22692186966387995,0.19288358921429796,0.4338835892142979,0.196,292,135,160,0,0
64,cluster_4,0.221,0.22241303870703072,0.1890510829009761,0.41005108290097614,0.175,304,141,160,0,0
65,cluster_0,0.326,0.18012902027780825,0.153109667236137,0.479109667236137,0.244,464,100,100,0,0
65,cluster_1,0.291,0.18602311767530388,0.1581196500240083,0.4491196500240083,0.212,435,184,200,0,0
65,cluster_2,0.241,0.19568703475466548,0.16633397954146564,0.40733397954146566,0.174,393,161,180,0,0
65,cluster_3,0.239,0.22692186966387995,0.19288358921429796,0.4318835892142979,0.196,292,135,160,0,0
65,cluster_4,0.219,0.22241303870703072,0.1890510829009761,0.40805108290097614,0.175,304,142,160,0,0
66,cluster_0,0.302,0.18012902027780825,0.153109667236137,0.455109667236137,0.223,464,100,100,0,0
66,cluster_1,0.292,0.18602311767530388,0.1581196500240083,0.4501196500240083,0.217,435,184,200,0,0
66,cluster_2,0.25,0.19568703475466548,0.16633397954146564,0.41633397954146567,0.185,393,161,180,0,0
66,cluster_3,0.236,0.22692186966387995,0.19288358921429796,0.4288835892142979,0.197,292,135,160,0,0
66,cluster_4,0.221,0.22241303870703072,0.1890510829009761,0.41005108290097614,0.179,304,142,160,0,0
67,cluster_0,0.299,0.18012902027780825,0.153109667236137,0.452109667236137,0.221,464,100,100,0,0
67,cluster_1,0.293,0.18602311767530388,0.1581196500240083,0.4511196500240083,0.221,435,185,200,0,0
67,cluster_2,0.245,0.19568703475466548,0.16633397954146564,0.41133397954146567,0.183,393,161,180,0,0
67,cluster_3,0.234,0.22692186966387995,0.19288358921429796,0.426883589214298,0.196,292,137,160,0,0
67,cluster_4,0.219,0.22241303870703072,0.1890510829009761,0.40805108290097614,0.179,304,142,160,0,0
68,cluster_0,0.31,0.18012902027780825,0.153109667236137,0.463109667236137,0.234,464,100,100,0,0
68,cluster_1,0.293,0.18602311767530388,0.1581196500240083,0.4511196500240083,0.221,435,186,200,0,0
68,cluster_2,0.24,0.19568703475466548,0.16633397954146564,0.40633397954146566,0.179,393,162,180,0,0
68,cluster_3,0.23,0.22692186966387995,0.19288358921429796,0.422883589214298,0.193,292,137,160,0,0
68,cluster_4,0.21,0.22241303870703072,0.1890510829009761,0.39905108290097613,0.173,304,142,160,0,0
69,cluster_0,0.301,0.18012902027780825,0.153109667236137,0.454109667236137,0.229,464,100,100,0,0
69,cluster_1,0.291,0.18602311767530388,0.1581196500240083,0.4491196500240083,0.223,435,187,200,0,0
69,cluster_2,0.234,0.19568703475466548,0.16633397954146564,0.40033397954146566,0.177,393,162,180,0,0
69,cluster_3,0.226,0.22692186966387995,0.19288358921429796,0.41888358921429797,0.194,292,139,160,0,0
69,cluster_4,0.211,0.22241303870703072,0.1890510829009761,0.40005108290097613,0.177,304,143,160,0,0
70,cluster_0,0.298,0.18012902027780825,0.153109667236137,0.451109667236137,0.225,464,100,100,0,0
70,cluster_1,0.284,0.18602311767530388,0.1581196500240083,0.44211965002400827,0.216,435,187,200,0,0
70,cluster_2,0.239,0.19568703475466548,0.16633397954146564,0.40533397954146566,0.181,393,163,180,0,0
70,cluster_3,0.226,0.22692186966387995,0.19288358921429796,0.41888358921429797,0.194,292,139,160,0,0
70,cluster_4,0.219,0.22241303870703072,0.1890510829009761,0.40805108290097614,0.183,304,143,160,0,0
71,cluster_0,0.29,0.18012902027780825,0.153109667236137,0.443109667236137,0.22,464,100,100,0,0
71,cluster_1,0.283,0.18602311767530388,0.1581196500240083,0.44111965002400827,0.219,435,187,200,0,0
71,cluster_2,0.233,0.19568703475466548,0.16633397954146564,0.39933397954146566,0.179,393,164,180,0,0
71,cluster_3,0.229,0.22692186966387995,0.19288358921429796,0.42188358921429797,0.199,292,140,160,0,0
71,cluster_4,0.215,0.22241303870703072,0.1890510829009761,0.40405108290097613,0.183,304,143,160,0,0
72,cluster_0,0.276,0.18012902027780825,0.153109667236137,0.429109667236137,0.211,464,100,100,0,0
72,cluster_1,0.277,0.18602311767530388,0.1581196500240083,0.4351196500240083,0.217,435,187,200,0,0
72,cluster_2,0.23,0.19568703475466548,0.16633397954146564,0.39633397954146565,0.18,393,164,180,0,0
72,cluster_3,0.236,0.22692186966387995,0.19288358921429796,0.4288835892142979,0.21,292,140,160,0,0
72,cluster_4,0.211,0.22241303870703072,0.1890510829009761,0.40005108290097613,0.183,304,144,160,0,0
73,cluster_0,0.263,0.18012902027780825,0.153109667236137,0.416109667236137,0.197,464,100,100,0,0
73,cluster_1,0.281,0.18602311767530388,0.1581196500240083,0.4391196500240083,0.22,435,188,200,0,0
73,cluster_2,0.237,0.19568703475466548,0.16633397954146564,0.40333397954146566,0.186,393,164,180,0,0
73,cluster_3,0.24,0.22692186966387995,0.19288358921429796,0.4328835892142979,0.214,292,141,160,0,0
73,cluster_4,0.213,0.22241303870703072,0.1890510829009761,0.40205108290097613,0.184,304,145,160,0,0
74,cluster_0,0.272,0.18012902027780825,0.153109667236137,0.425109667236137,0.202,464,100,100,0,0
74,cluster_1,0.277,0.18602311767530388,0.1581196500240083,0.4351196500240083,0.212,435,189,200,0,0
74,cluster_2,0.244,0.19568703475466548,0.16633397954146564,0.41033397954146567,0.188,393,164,180,0,0
74,cluster_3,0.229,0.22692186966387995,0.19288358921429796,0.42188358921429797,0.199,292,143,160,0,0
74,cluster_4,0.233,0.22241303870703072,0.1890510829009761,0.42205108290097615,0.2,304,145,160,0,0
75,cluster_0,0.271,0.18012902027780825,0.153109667236137,0.424109667236137,0.198,464,100,100,0,0
75,cluster_1,0.278,0.18602311767530388,0.1581196500240083,0.4361196500240083,0.211,435,190,200,0,0
75,cluster_2,0.244,0.19568703475466548,0.16633397954146564,0.41033397954146567,0.186,393,164,180,0,0
75,cluster_3,0.235,0.22692186966387995,0.19288358921429796,0.4278835892142979,0.202,292,143,160,0,0
75,cluster_4,0.24,0.22241303870703072,0.1890510829009761,0.4290510829009761,0.203,304,147,160,0,0
76,cluster_0,0.27,0.18012902027780825,0.153109667236137,0.423109667236137,0.199,464,100,100,0,0
76,cluster_1,0.277,0.18602311767530388,0.1581196500240083,0.4351196500240083,0.21,435,191,200,0,0
76,cluster_2,0.237,0.19568703475466548,0.16633397954146564,0.40333397954146566,0.181,393,164,180,0,0
76,cluster_3,0.238,0.22692186966387995,0.19288358921429796,0.4308835892142979,0.206,292,143,160,0,0
76,cluster_4,0.24,0.22241303870703072,0.1890510829009761,0.4290510829009761,0.204,304,147,160,0,0
77,cluster_0,0.259,0.18012902027780825,0.153109667236137,0.412109667236137,0.191,464,100,100,0,0
77,cluster_1,0.27,0.18602311767530388,0.1581196500240083,0.4281196500240083,0.205,435,191,200,0,0
77,cluster_2,0.236,0.19568703475466548,0.16633397954146564,0.40233397954146566,0.182,393,164,180,0,0
77,cluster_3,0.241,0.22692186966387995,0.19288358921429796,0.4338835892142979,0.211,292,144,160,0,0
77,cluster_4,0.245,0.22241303870703072,0.1890510829009761,0.4340510829009761,0.212,304,147,160,0,0
78,cluster_0,0.262,0.18012902027780825,0.153109667236137,0.415109667236137,0.196,464,100,100,0,0
78,cluster_1,0.263,0.18602311767530388,0.1581196500240083,0.4211196500240083,0.202,435,191,200,0,0
78,cluster_2,0.236,0.19568703475466548,0.16633397954146564,0.40233397954146566,0.185,393,164,180,0,0
78,cluster_3,0.233,0.22692186966387995,0.19288358921429796,0.425883589214298,0.206,292,145,160,0,0
78,cluster_4,0.242,0.22241303870703072,0.1890510829009761,0.4310510829009761,0.211,304,147,160,0,0
79,cluster_0,0.241,0.18012902027780825,0.153109667236137,0.394109667236137,0.178,464,100,100,0,0
79,cluster_1,0.259,0.18602311767530388,0.1581196500240083,0.4171196500240083,0.199,435,191,200,0,0
79,cluster_2,0.235,0.19568703475466548,0.16633397954146564,0.40133397954146566,0.185,393,165,180,0,0
79,cluster_3,0.246,0.22692186966387995,0.19288358921429796,0.43888358921429793,0.221,292,146,160,0,0
79,cluster_4,0.246,0.22241303870703072,0.1890510829009761,0.4350510829009761,0.217,304,147,160,0,0
80,cluster_0,0.25,0.18012902027780825,0.153109667236137,0.403109667236137,0.183,464,100,100,0,0
80,cluster_1,0.264,0.18602311767530388,0.1581196500240083,0.4221196500240083,0.201,435,191,200,0,0
80,cluster_2,0.243,0.19568703475466548,0.16633397954146564,0.40933397954146566,0.189,393,165,180,0,0
80,cluster_3,0.252,0.22692186966387995,0.19288358921429796,0.44488358921429794,0.224,292,147,160,0,0
80,cluster_4,0.235,0.22241303870703072,0.1890510829009761,0.4240510829009761,0.203,304,147,160,0,0
81,cluster_0,0.234,0.18012902027780825,0.153109667236137,0.38710966723613704,0.174,464,100,100,0,0
81,cluster_1,0.262,0.18602311767530388,0.1581196500240083,0.4201196500240083,0.204,435,192,200,0,0
81,cluster_2,0.244,0.19568703475466548,0.16633397954146564,0.41033397954146567,0.194,393,165,180,0,0
81,cluster_3,0.251,0.22692186966387995,0.19288358921429796,0.44388358921429794,0.228,292,147,160,0,0
81,cluster_4,0.228,0.22241303870703072,0.1890510829009761,0.41705108290097614,0.201,304,147,160,0,0
82,cluster_0,0.208,0.18012902027780825,0.153109667236137,0.361109667236137,0.161,464,100,100,0,0
82,cluster_1,0.256,0.18602311767530388,0.1581196500240083,0.4141196500240083,0.206,435,194,200,0,0
82,cluster_2,0.238,0.19568703475466548,0.16633397954146564,0.40433397954146566,0.197,393,166,180,0,0
82,cluster_3,0.247,0.22692186966387995,0.19288358921429796,0.43988358921429793,0.233,292,147,160,0,0
82,cluster_4,0.223,0.22241303870703072,0.1890510829009761,0.41205108290097614,0.204,304,147,160,0,0
83,cluster_0,0.218,0.18012902027780825,0.153109667236137,0.37110966723613703,0.166,464,100,100,0,0
83,cluster_1,0.248,0.18602311767530388,0.1581196500240083,0.4061196500240083,0.197,435,194,200,0,0
83,cluster_2,0.237,0.19568703475466548,0.16633397954146564,0.40333397954146566,0.194,393,165,180,0,0
83,cluster_3,0.249,0.22692186966387995,0.19288358921429796,0.44188358921429793,0.233,292,147,160,0,0
83,cluster_4,0.23,0.22241303870703072,0.1890510829009761,0.41905108290097615,0.209,304,147,160,0,0
84,cluster_0,0.229,0.18012902027780825,0.153109667236137,0.38210966723613704,0.173,464,100,100,0,0
84,cluster_1,0.251,0.18602311767530388,0.1581196500240083,0.4091196500240083,0.196,435,195,200,0,0
84,cluster_2,0.236,0.19568703475466548,0.16633397954146564,0.40233397954146566,0.191,393,165,180,0,0
84,cluster_3,0.247,0.22692186966387995,0.19288358921429796,0.43988358921429793,0.227,292,148,160,0,0
84,cluster_4,0.236,0.22241303870703072,0.1890510829009761,0.4250510829009761,0.213,304,148,160,0,0
85,cluster_0,0.23,0.18012902027780825,0.153109667236137,0.38310966723613704,0.176,464,100,100,0,0
85,cluster_1,0.25,0.18602311767530388,0.1581196500240083,0.4081196500240083,0.198,435,196,200,0,0
85,cluster_2,0.235,0.19568703475466548,0.16633397954146564,0.40133397954146566,0.192,393,165,180,0,0
85,cluster_3,0.243,0.22692186966387995,0.19288358921429796,0.43588358921429793,0.226,292,148,160,0,0
85,cluster_4,0.23,0.22241303870703072,0.1890510829009761,0.41905108290097615,0.208,304,147,160,0,0
86,cluster_0,0.238,0.18012902027780825,0.153109667236137,0.391109667236137,0.18,464,100,100,0,0
86,cluster_1,0.243,0.18602311767530388,0.1581196500240083,0.4011196500240083,0.189,435,196,200,0,0
86,cluster_2,0.237,0.19568703475466548,0.16633397954146564,0.40333397954146566,0.191,393,165,180,0,0
86,cluster_3,0.247,0.22692186966387995,0.19288358921429796,0.43988358921429793,0.227,292,149,160,0,0
86,cluster_4,0.236,0.22241303870703072,0.1890510829009761,0.4250510829009761,0.212,304,145,160,0,0
87,cluster_0,0.223,0.18012902027780825,0.153109667236137,0.37610966723613704,0.17,464,100,100,0,0
87,cluster_1,0.248,0.18602311767530388,0.1581196500240083,0.4061196500240083,0.196,435,196,200,0,0
87,cluster_2,0.233,0.19568703475466548,0.16633397954146564,0.39933397954146566,0.189,393,167,180,0,0
87,cluster_3,0.251,0.22692186966387995,0.19288358921429796,0.44388358921429794,0.235,292,148,160,0,0
87,cluster_4,0.233,0.22241303870703072,0.1890510829009761,0.42205108290097615,0.211,304,145,160,0,0
88,cluster_0,0.228,0.18012902027780825,0.153109667236137,0.38110966723613704,0.174,464,100,100,0,0
88,cluster_1,0.236,0.18602311767530388,0.1581196500240083,0.3941196500240083,0.185,435,196,200,0,0
88,cluster_2,0.234,0.19568703475466548,0.16633397954146564,0.40033397954146566,0.19,393,167,180,0,0
88,cluster_3,0.244,0.22692186966387995,0.19288358921429796,0.43688358921429793,0.226,292,148,160,0,0
88,cluster_4,0.247,0.22241303870703072,0.1890510829009761,0.4360510829009761,0.225,304,143,160,0,0
89,cluster_0,0.206,0.18012902027780825,0.153109667236137,0.359109667236137,0.158,464,100,100,0,0
89,cluster_1,0.225,0.18602311767530388,0.1581196500240083,0.3831196500240083,0.178,435,196,200,0,0
89,cluster_2,0.236,0.19568703475466548,0.16633397954146564,0.40233397954146566,0.195,393,166,180,0,0
89,cluster_3,0.255,0.22692186966387995,0.19288358921429796,0.44788358921429794,0.241,292,148,160,0,0
89,cluster_4,0.247,0.22241303870703072,0.1890510829009761,0.4360510829009761,0.228,304,143,160,0,0
90,cluster_0,0.196,0.18012902027780825,0.153109667236137,0.349109667236137,0.15,464,100,100,0,0
90,cluster_1,0.224,0.18602311767530388,0.1581196500240083,0.3821196500240083,0.175,435,196,200,0,0
90,cluster_2,0.241,0.19568703475466548,0.16633397954146564,0.40733397954146566,0.198,393,166,180,0,0
90,cluster_3,0.258,0.22692186966387995,0.19288358921429796,0.45088358921429794,0.243,292,148,160,0,0
90,cluster_4,0.254,0.22241303870703072,0.1890510829009761,0.4430510829009761,0.234,304,143,160,0,0
91,cluster_0,0.184,0.18012902027780825,0.153109667236137,0.337109667236137,0.144,464,100,100,0,0
91,cluster_1,0.228,0.18602311767530388,0.1581196500240083,0.3861196500240083,0.182,435,196,200,0,0
91,cluster_2,0.24,0.19568703475466548,0.16633397954146564,0.40633397954146566,0.2,393,164,180,0,0
91,cluster_3,0.255,0.22692186966387995,0.19288358921429796,0.44788358921429794,0.244,292,148,160,0,0
91,cluster_4,0.247,0.22241303870703072,0.1890510829009761,0.4360510829009761,0.231,304,144,160,0,0
92,cluster_0,0.176,0.18012902027780825,0.153109667236137,0.329109667236137,0.14,464,100,100,0,0
92,cluster_1,0.226,0.18602311767530388,0.1581196500240083,0.3841196500240083,0.181,435,196,200,0,0
92,cluster_2,0.24,0.19568703475466548,0.16633397954146564,0.40633397954146566,0.202,393,165,180,0,0
92,cluster_3,0.253,0.22692186966387995,0.19288358921429796,0.44588358921429794,0.244,292,149,160,0,0
92,cluster_4,0.247,0.22241303870703072,0.1890510829009761,0.4360510829009761,0.233,304,144,160,0,0
93,cluster_0,0.178,0.18012902027780825,0.153109667236137,0.331109667236137,0.141,464,100,100,0,0
93,cluster_1,0.22,0.18602311767530388,0.1581196500240083,0.37811965002400827,0.175,435,196,200,0,0
93,cluster_2,0.244,0.19568703475466548,0.16633397954146564,0.41033397954146567,0.205,393,165,180,0,0
93,cluster_3,0.257,0.22692186966387995,0.19288358921429796,0.44988358921429794,0.247,292,150,160,0,0
93,cluster_4,0.249,0.22241303870703072,0.1890510829009761,0.4380510829009761,0.233,304,146,160,0,0
94,cluster_0,0.177,0.18012902027780825,0.153109667236137,0.330109667236137,0.141,464,100,100,0,0
94,cluster_1,0.218,0.18602311767530388,0.1581196500240083,0.37611965002400827,0.175,435,196,200,0,0
94,cluster_2,0.243,0.19568703475466548,0.16633397954146564,0.40933397954146566,0.204,393,165,180,0,0
94,cluster_3,0.26,0.22692186966387995,0.19288358921429796,0.45288358921429794,0.252,292,150,160,0,0
94,cluster_4,0.244,0.22241303870703072,0.1890510829009761,0.4330510829009761,0.229,304,145,160,0,0
95,cluster_0,0.187,0.18012902027780825,0.153109667236137,0.340109667236137,0.148,464,100,100,0,0
95,cluster_1,0.217,0.18602311767530388,0.1581196500240083,0.37511965002400827,0.174,435,196,200,0,0
95,cluster_2,0.235,0.19568703475466548,0.16633397954146564,0.40133397954146566,0.197,393,165,180,0,0
95,cluster_3,0.261,0.22692186966387995,0.19288358921429796,0.45388358921429794,0.253,292,152,160,0,0
95,cluster_4,0.242,0.22241303870703072,0.1890510829009761,0.4310510829009761,0.227,304,147,160,0,0
96,cluster_0,0.176,0.18012902027780825,0.153109667236137,0.329109667236137,0.144,464,100,100,0,0
96,cluster_1,0.206,0.18602311767530388,0.1581196500240083,0.36411965002400826,0.169,435,196,200,0,0
96,cluster_2,0.239,0.19568703475466548,0.16633397954146564,0.40533397954146566,0.206,393,165,180,0,0
96,cluster_3,0.252,0.22692186966387995,0.19288358921429796,0.44488358921429794,0.25,292,152,160,0,0
96,cluster_4,0.24,0.22241303870703072,0.1890510829009761,0.4290510829009761,0.231,304,148,160,0,0
97,cluster_0,0.19,0.18012902027780825,0.153109667236137,0.343109667236137,0.151,464,100,100,0,0
97,cluster_1,0.205,0.18602311767530388,0.1581196500240083,0.36311965002400826,0.166,435,196,200,0,0
97,cluster_2,0.237,0.19568703475466548,0.16633397954146564,0.40333397954146566,0.201,393,165,180,0,0
97,cluster_3,0.263,0.22692186966387995,0.19288358921429796,0.45588358921429795,0.259,292,151,160,0,0
97,cluster_4,0.236,0.22241303870703072,0.1890510829009761,0.4250510829009761,0.223,304,148,160,0,0
98,cluster_0,0.195,0.18012902027780825,0.153109667236137,0.348109667236137,0.153,464,100,100,0,0
98,cluster_1,0.211,0.18602311767530388,0.1581196500240083,0.36911965002400826,0.168,435,195,200,0,0
98,cluster_2,0.244,0.19568703475466548,0.16633397954146564,0.41033397954146567,0.204,393,165,180,0,0
98,cluster_3,0.267,0.22692186966387995,0.19288358921429796,0.45988358921429795,0.259,292,149,160,0,0
98,cluster_4,0.232,0.22241303870703072,0.1890510829009761,0.42105108290097615,0.215,304,148,160,0,0
99,cluster_0,0.203,0.18012902027780825,0.153109667236137,0.356109667236137,0.158,464,100,100,0,0
99,cluster_1,0.211,0.18602311767530388,0.1581196500240083,0.36911965002400826,0.169,435,194,200,0,0
99,cluster_2,0.241,0.19568703475466548,0.16633397954146564,0.40733397954146566,0.202,393,164,180,0,0
99,cluster_3,0.262,0.22692186966387995,0.19288358921429796,0.45488358921429795,0.254,292,149,160,0,0
99,cluster_4,0.234,0.22241303870703072,0.1890510829009761,0.42305108290097615,0.217,304,146,160,0,0
100,cluster_0,0.19,0.18012902027780825,0.153109667236137,0.343109667236137,0.153,464,100,100,0,0
100,cluster_1,0.21,0.18602311767530388,0.1581196500240083,0.36811965002400826,0.172,435,193,200,0,0
100,cluster_2,0.25,0.19568703475466548,0.16633397954146564,0.41633397954146567,0.216,393,166,180,0,0
100,cluster_3,0.256,0.22692186966387995,0.19288358921429796,0.44888358921429794,0.252,292,152,160,0,0
100,cluster_4,0.22,0.22241303870703072,0.1890510829009761,0.40905108290097614,0.208,304,147,160,0,0
101,cluster_0,0.19,0.18012902027780825,0.153109667236137,0.343109667236137,0.153,464,100,100,0,0
101,cluster_1,0.21,0.18602311767530388,0.1581196500240083,0.36811965002400826,0.172,435,193,200,0,0
101,cluster_2,0.25,0.19568703475466548,0.16633397954146564,0.41633397954146567,0.216,393,166,180,0,0
101,cluster_3,0.256,0.22692186966387995,0.19288358921429796,0.44888358921429794,0.252,292,152,160,0,0
101,cluster_4,0.22,0.22241303870703072,0.1890510829009761,0.40905108290097614,0.208,304,147,160,0,0
102,cluster_0,0.187,0.18012902027780825,0.153109667236137,0.340109667236137,0.153,464,100,100,0,0
102,cluster_1,0.205,0.18602311767530388,0.1581196500240083,0.36311965002400826,0.17,435,192,200,0,0
102,cluster_2,0.249,0.19568703475466548,0.16633397954146564,0.41533397954146567,0.218,393,165,180,0,0
102,cluster_3,0.249,0.22692186966387995,0.19288358921429796,0.44188358921429793,0.248,292,152,160,0,0
102,cluster_4,0.218,0.22241303870703072,0.1890510829009761,0.40705108290097614,0.21,304,147,160,0,0
103,cluster_0,0.187,0.18012902027780825,0.153109667236137,0.340109667236137,0.154,464,100,100,0,0
103,cluster_1,0.193,0.18602311767530388,0.1581196500240083,0.3511196500240083,0.162,435,191,200,0,0
103,cluster_2,0.245,0.19568703475466548,0.16633397954146564,0.41133397954146567,0.215,393,165,180,0,0
103,cluster_3,0.253,0.22692186966387995,0.19288358921429796,0.44588358921429794,0.254,292,152,160,0,0
103,cluster_4,0.222,0.22241303870703072,0.1890510829009761,0.41105108290097614,0.215,304,147,160,0,0
104,cluster_0,0.183,0.18012902027780825,0.153109667236137,0.336109667236137,0.152,464,100,100,0,0
104,cluster_1,0.192,0.18602311767530388,0.1581196500240083,0.3501196500240083,0.163,435,190,200,0,0
104,cluster_2,0.237,0.19568703475466548,0.16633397954146564,0.40333397954146566,0.208,393,165,180,0,0
104,cluster_3,0.26,0.22692186966387995,0.19288358921429796,0.45288358921429794,0.264,292,152,160,0,0
104,cluster_4,0.219,0.22241303870703072,0.1890510829009761,0.40805108290097614,0.213,304,145,160,0,0
105,cluster_0,0.167,0.18012902027780825,0.153109667236137,0.320109667236137,0.143,464,100,100,0,0
105,cluster_1,0.188,0.18602311767530388,0.1581196500240083,0.3461196500240083,0.162,435,190,200,0,0
105,cluster_2,0.244,0.19568703475466548,0.16633397954146564,0.41033397954146567,0.219,393,163,180,0,0
105,cluster_3,0.258,0.22692186966387995,0.19288358921429796,0.45088358921429794,0.265,292,151,160,0,0
105,cluster_4,0.213,0.22241303870703072,0.1890510829009761,0.40205108290097613,0.21,304,147,160,0,0
106,cluster_0,0.158,0.18012902027780825,0.153109667236137,0.311109667236137,0.141,464,100,100,0,0
106,cluster_1,0.185,0.18602311767530388,0.1581196500240083,0.3431196500240083,0.163,435,190,200,0,0
106,cluster_2,0.235,0.19568703475466548,0.16633397954146564,0.40133397954146566,0.215,393,163,180,0,0
106,cluster_3,0.252,0.22692186966387995,0.19288358921429796,0.44488358921429794,0.265,292,151,160,0,0
106,cluster_4,0.214,0.22241303870703072,0.1890510829009761,0.40305108290097613,0.216,304,148,160,0,0
107,cluster_0,0.156,0.18012902027780825,0.153109667236137,0.309109667236137,0.139,464,100,100,0,0
107,cluster_1,0.177,0.18602311767530388,0.1581196500240083,0.3351196500240083,0.158,435,189,200,0,0
107,cluster_2,0.232,0.19568703475466548,0.16633397954146564,0.39833397954146565,0.212,393,165,180,0,0
